source_line,source_status,source_section,source_title,source_fingerprint,disposition,import_action,canonical_source_line,stable_title_key,target_project_key,target_state,target_lane,existing_linear,risk,prerequisite,rationale
8,completed,Plugin Infrastructure (Mar 16),"Server plugin system (types, registry, hooks, migrations, routes)",e1957c3d97b9d6dc4fa2e04dca0a813977c8cec3e1bd66e43dee3f0a538bfb75,exclude_completed,none,,,,,,,none,,Source checkbox is completed
9,completed,Plugin Infrastructure (Mar 16),"Geordi Swarm plugin (manifest, CRUD routes, migration, kanban UI)",dc6d9fd9a7a76e0d587dceb2e936202267b297ddc601ff5b407104fd44999c38,exclude_completed,none,,,,,,,none,,Source checkbox is completed
10,completed,Plugin Infrastructure (Mar 16),SwarmBoard with New Job form + detail panel + lifecycle controls,5e04fb63080136d6063261bc91197b3518746aeb8668968147d409e58ed4c2fa,exclude_completed,none,,,,,,,none,,Source checkbox is completed
11,completed,Plugin Infrastructure (Mar 16),App plugin store (Zustand) + PluginAdminPanel + PluginSubViewSlot + PluginDetailSlot,c60fd3d4e3b76d2f75902890704b719327dac2bd92c87de9050a0c7615123fe8,exclude_completed,none,,,,,,,none,,Source checkbox is completed
12,completed,Plugin Infrastructure (Mar 16),"Strategic tab (MCStrategicView — roadmaps, recurring tasks, backlog)",ea8aac618ea72d2d9afa164517e1a471fe777ded47675a5eb1c3ea69a45089cf,exclude_completed,none,,,,,,,none,,Source checkbox is completed
13,completed,Plugin Infrastructure (Mar 16),Tab persistence + race condition fix,ab141ed86abde4801bb2cfa4c3fce17dacb43512ea9a007af857c9792721265a,exclude_completed,none,,,,,,,none,,Source checkbox is completed
14,completed,Plugin Infrastructure (Mar 16),"Self-healing cron for stuck swarm jobs (auto-fail after 60min, retry up to max_retries)",3def1a962d6bf3b774a84dc7b8acf4a2d96aabf4301d0649e73acab10c9d0648,exclude_completed,none,,,,,,,none,,Source checkbox is completed
15,completed,Plugin Infrastructure (Mar 16),"Full lifecycle routes on Mac server (dispatch, accept, reject, cancel, providers)",3bfd0507eca04a106476db9f6bb16230490c12a596f8f98974db03901015af6f,exclude_completed,none,,,,,,,none,,Source checkbox is completed
16,completed,Plugin Infrastructure (Mar 16),Admin panel settings save endpoint,918d91f0b2ae6597b06ec87661dae85c04c6deae72ee89068091ba121a669f4b,exclude_completed,none,,,,,,,none,,Source checkbox is completed
17,completed,Plugin Infrastructure (Mar 16),Entity Linker as second plugin (validate infrastructure generality),7c884d7078b230c9179b9ad080d4d42a719f769a9903c4cd4f4593d8c4094adf,exclude_completed,none,,,,,,,none,,Source checkbox is completed
18,completed,Plugin Infrastructure (Mar 16),Fix indexer gate condition bug (FS_MULTISOURCE_ENABLED should be FS_INDEXER_ENABLED),83ae84468a1647327529ff89a2b890264a17248b17b496b018f6c0b1ca8c04ef,exclude_completed,none,,,,,,,none,,Source checkbox is completed
21,completed,Active Bugs (Feb 18),"""undefined: Updated task..."" on task card footers",c2861b68094f897a6de892afe5550b97f5d005d44bf7c833877a76068753f275,exclude_completed,none,,,,,,,none,,Source checkbox is completed
22,completed,Active Bugs (Feb 18),"""Agent trigger failed: fetch failed"" human-readable mapping",0153968e25e58d6b308dbcdcd86ce77bbc8b041cacdc2d133776ce2105e24067,exclude_completed,none,,,,,,,none,,Source checkbox is completed
23,completed,Active Bugs (Feb 18),Working indicator (loading dot) too aggressive,902987617629a9c2c2ddd10417dd15c8f942c5bdc01065b85b23c6915e3f0da0,exclude_completed,none,,,,,,,none,,Source checkbox is completed
24,completed,Active Bugs (Feb 18),MC Cron jq filter,3ea699ad8d712d5a8a4cd8a52d7f249f7fabf31b6a9165bcaa036d4f713e9085,exclude_completed,none,,,,,,,none,,Source checkbox is completed
25,open,Active Bugs (Feb 18),gog OAuth expired for <redacted-account>,2394d00706ba541da89fc1df5dcddbed248ed4b133c98463757fffc3308d3247,exclude_manual_or_destructive,none,,,,,,,high,,"Requires manual credentials, production data, or destructive operator action"
28,open,Active (Phase 2 - Watch Mode),Agent Focus Tracking in Sidebar (story 5),f0bc026487a4822c2483a63029887f62744873da0233f6703bf5c5df444190a7,import_candidate,verify_then_create,28,todo-agent-focus-tracking-in-sidebar-story-5-033c333052aa,entity-engineering,backlog,app-ui,,low,Confirm source patch is absent from origin/main,Actionable Entity repository or delivery-infrastructure engineering work
29,completed,Active (Phase 2 - Watch Mode),Notification Center - Toasts (story 6),bd57e3b3da44dbc532ab14587e56988606f2749575bc8b2a8247aa17f51a304a,exclude_completed,none,,,,,,,none,,Source checkbox is completed
30,completed,Active (Phase 2 - Watch Mode),Notification Center - History Panel (story 7),8ef18ea9aecbbdb2e4248cdeb688a6fa2b2784a985334a898e4d09153d0a772b,exclude_completed,none,,,,,,,none,,Source checkbox is completed
31,open,Active (Phase 2 - Watch Mode),Split Pane View (story 8),fc4b776f0d915780cf2176fc7975aa470ce4e9cca512c7272ddf6952127dd6d0,import_candidate,verify_then_create,31,todo-split-pane-view-story-8-73a661272a65,entity-engineering,backlog,app-ui,,low,Confirm source patch is absent from origin/main,Actionable Entity repository or delivery-infrastructure engineering work
32,open,Active (Phase 2 - Watch Mode),Split Pane View (story 8),1cf4d2f76d8a050e94622bbb63f9a27ee4d0773671c912978e660e340100b1bc,merge_duplicate,none,31,,,,,,none,,Duplicate/status variant of source line 31
33,completed,Active (Phase 2 - Watch Mode),File Change History (story 9),fe77b0b9dcfd7084ed32cc49f4586e15376fe312fc412473fd37c01cf71a082b,exclude_completed,none,,,,,,,none,,Source checkbox is completed
34,open,Active (Phase 2 - Watch Mode),Auto-Follow Agent Files (story 4),0d4362c3413b5a620c0f56b721e46ade8a26e2dad1e5b0e0ceb236d3675108b1,import_candidate,verify_then_create,34,todo-auto-follow-agent-files-story-4-b63aadd8b14f,entity-engineering,backlog,app-ui,,low,Confirm source patch is absent from origin/main,Actionable Entity repository or delivery-infrastructure engineering work
35,completed,Active (Phase 2 - Watch Mode),Frontend app build/type environment blocker for watch-mode deploys,121a293032269af6f1a679426abfc34061cd1e2253c55907379f6efa2093e20a,exclude_completed,none,,,,,,,none,,Source checkbox is completed
